Tabela/View;Campo;Propriedade;Português do Brasil (Nativo);Espanhol
E000IPC;PERCFF;1;% COFINS Fat.;% Grasa COFINS.
E000IPC;PERCFF;2;% COFINS Fat. (Est. Dev.);% Grasa COFINS. (Desarrollo est.)
E000IPC;PERCFF;3;Percentual do COFINS Faturamento (Estorno devolução);Porcentaje de Facturación COFINS (Reversión)
E000IPC;PERCIM;1;% COFINS Rec. Imp.;% COFINS Rec. Diablillo.
E000IPC;PERCIM;2;% COFINS a Rec. na Importação;% COFINS a Rec. en Importación
E000IPC;PERCIM;3;Percentual de COFINS a Recuperar na Importação;Porcentaje de COFINS que se recuperará al importar
E000IPC;PERCIT;1;% CIDE Tec.;%CIDE Tec.
E000IPC;PERCIT;2;% CIDE Tecnologia;% Tecnología CIDE
E000IPC;PERCIT;3;Percentual do imposto CIDE-Tecnologia;Porcentaje del impuesto CIDE-Tecnología
E000IPC;PERCOR;1;% COFINS Rec.;% COFINS Rec.
E000IPC;PERCOR;2;% COFINS a Recuperar;% COFINS a recuperar
E000IPC;PERCOR;3;Percentual de COFINS a Recuperar;Porcentaje de COFINS a recuperar
E000IPC;PERCRT;1;% Cofins Retido;% de ataúdes retenidos
E000IPC;PERCRT;2;% Cofins Retido;% de ataúdes retenidos
E000IPC;PERCRT;3;Percentual de Cofins Retido;Porcentaje de Cofins retenidos
E000IPC;PERCSL;1;% CSLL Retido;% CSLL retenido
E000IPC;PERCSL;2;% CSLL Retido;% CSLL retenido
E000IPC;PERCSL;3;Percentual de CSLL Retido;Porcentaje de CSLL retenido
E000IPC;PERDIF;1;% Diferimento;% de aplazamiento
E000IPC;PERDIF;2;% Diferimento;% de aplazamiento
E000IPC;PERDIF;3;Percentual de diferimento do item;Porcentaje de aplazamiento de artículo
E000IPC;PERDS1;1;% Desconto 1;% Descuento 1
E000IPC;PERDS1;2;% Desconto 1;% Descuento 1
E000IPC;PERDS1;3;Percentual de desconto 1;Porcentaje de descuento 1
E000IPC;PERDS2;1;% Desconto 2;% Descuento 2
E000IPC;PERDS2;2;% Desconto 2;% Descuento 2
E000IPC;PERDS2;3;Percentual de desconto 2;Porcentaje de descuento 2
E000IPC;PERDS3;1;% Desconto 3;% Descuento 3
E000IPC;PERDS3;2;% Desconto 3;% Descuento 3
E000IPC;PERDS3;3;Percentual de desconto 3;Porcentaje de descuento 3
E000IPC;PERDS4;1;% Desconto 4;% Descuento 4
E000IPC;PERDS4;2;% Desconto 4;% Descuento 4
E000IPC;PERDS4;3;Percentual de desconto 4;Porcentaje de descuento 4
E000IPC;PERDS5;1;% Desconto 5;% Descuento 5
E000IPC;PERDS5;2;% Desconto 5;% Descuento 5
E000IPC;PERDS5;3;Percentual de desconto 5;5 por ciento de descuento
E000IPC;PERDSC;1;% Desconto;% Descuento
E000IPC;PERDSC;2;% Desconto;% Descuento
E000IPC;PERDSC;3;Percentual de desconto do item da nota fiscal de entrada;Porcentaje de descuento del artículo de factura entrante
E000IPC;PERFUN;1;% Funrural/INSS;% Funeraria/INSS
E000IPC;PERFUN;2;% Funrural/INSS;% Funeraria/INSS
E000IPC;PERFUN;3;Percentual do Funrural ou INSS;Porcentaje de Funrural o INSS
E000IPC;PERICI;1;% ICMS importação;% Importar ICMS
E000IPC;PERICI;2;% ICMS importação;% Importar ICMS
E000IPC;PERICI;3;Percentual de ICMS na importação;Porcentaje ICMS sobre importación
E000IPC;PERICM;1;% ICMS;%ICMS
E000IPC;PERICM;2;% ICMS;%ICMS
E000IPC;PERICM;3;Percentual do ICM do item da nota fiscal de entrada;Porcentaje ICM del artículo de factura entrante
E000IPC;PERIDF;1;% ICMS Diferido;% ICMS diferido
E000IPC;PERIDF;2;% ICMS Diferido;% ICMS diferido
E000IPC;PERIDF;3;Percentual do ICMS diferido do item;Porcentaje de ICMS diferido sobre el artículo
E000IPC;PERIEF;1;% ICMS Ent. Fut.;% ICMS Ent. Fut.
E000IPC;PERIEF;2;% ICMS Entrega Futura;% de entrega futura de ICMS
E000IPC;PERIEF;3;Percentual do ICMS entrega futura do item da nota;Porcentaje de ICMS para la entrega futura del artículo de nota
E000IPC;PERIIM;1;% II;%II
E000IPC;PERIIM;2;% II;%II
E000IPC;PERIIM;3;Percentual de imposto de importação do item da nota fiscal de entrada;Porcentaje de impuesto de importación del artículo facturado
E000IPC;PERIPI;1;% IPI;% IPI
E000IPC;PERIPI;2;% IPI;% IPI
E000IPC;PERIPI;3;Percentual de IPI do item da nota fiscal de entrada;Porcentaje IPI del artículo de factura entrante
E000IPC;PERIRF;1;% IRRF;% IRRF
E000IPC;PERIRF;2;% IRRF;% IRRF
E000IPC;PERIRF;3;Percentual do IRRF;Porcentaje IRRF
E000IPC;PERISN;1;% ICMS Simp. Nac.;% ICMS simple. Nac.
E000IPC;PERISN;2;% ICMS Simples Nacional;% ICMS Simples Nacionales
E000IPC;PERISN;3;Percentual do ICMS Simples Nacional do item da nota fiscal de entrada;ICMS Simples Nacional porcentaje de la partida de factura de entrada
E000IPC;PEROUR;1;% Outras Retenções;% Otras Retenciones
E000IPC;PEROUR;2;% Outras Retenções;% Otras Retenciones
E000IPC;PEROUR;3;Percentual de Outras Retenções;Porcentaje de Otras Retenciones
E000IPC;PERPIF;1;% PIS Fat.;% PIS Grasa.
E000IPC;PERPIF;2;% PIS Fat. (Est. Dev.);% PIS Grasa. (Desarrollo est.)
E000IPC;PERPIF;3;Percentual do PIS Faturamento (Estorno devolução);Porcentaje de facturación PIS (reembolso)
E000IPC;PERPIM;1;% PIS Rec. Imp.;% PIS Rec. Diablillo.
E000IPC;PERPIM;2;% PIS a Rec. na Importação;% PIS a Rec. en Importación
E000IPC;PERPIM;3;Percentual de PIS a Recuperar na Importação;Porcentaje del PIS a recuperar de las importaciones
E000IPC;PERPIR;1;% PIS Rec.;% PIS Rec.
E000IPC;PERPIR;2;% PIS a Recuperar;% PIS a recuperar
E000IPC;PERPIR;3;Percentual de PIS a Recuperar;Porcentaje de PIS a recuperar
E000IPC;PERPIT;1;% PIS Retido;% PIS retenido
E000IPC;PERPIT;2;% PIS Retido;% PIS retenido
E000IPC;PERPIT;3;Percentual de PIS Retido;Porcentaje de PIS retenido
E000IPC;PERSEN;1;% Senar;% Senares
E000IPC;PERSEN;2;% Senar;% Senares
E000IPC;PERSEN;3;Percentual do Senar;Porcentaje de senares
E000IPC;PESBRU;1;Peso Bruto;Peso bruto
E000IPC;PESBRU;2;Peso Bruto;Peso bruto
E000IPC;PESBRU;3;Peso bruto do item da nota fiscal de entrada;Peso bruto del artículo facturado
E000IPC;PESLIQ;1;Peso Líq.;Peso neto
E000IPC;PESLIQ;2;Peso Líquido;Peso neto
E000IPC;PESLIQ;3;Peso líquido do item da nota fiscal de entrada;Peso neto del artículo de la factura de proveedores
E000IPC;PISIMP;1;Valor Pis a Recuperar Importação;Valor de Pis para recuperar la importación
E000IPC;PISIMP;2;Valor Pis a Recuperar Importação;Valor de Pis para recuperar la importación
E000IPC;PISIMP;3;Valor do pis a recuperar na importação;Valor del pis que se recuperará en el momento de la importación
E000IPC;PREBAS;1;Preço Est.;Precio estimado.
E000IPC;PREBAS;2;Preço Base Estoque;Precio base de las acciones
E000IPC;PREBAS;3;Preço unitário base para o movimento de estoque;Precio unitario base para el movimiento de existencias
E000IPC;PREEST;1;Preço Est.;Precio estimado.
E000IPC;PREEST;2;Preço Estoque;Precio de mercado
E000IPC;PREEST;3;Preço do item conforme unidade de medida de estoque;Precio del artículo según unidad de medida de stock
E000IPC;PREUNI;1;Preço Uni. NF;Precio único. NF
E000IPC;PREUNI;2;Preço Unitário NF;Precio unitario NF
E000IPC;PREUNI;3;Preço unitário do item da nota fiscal de entrada;Precio unitario del artículo de la factura de proveedores
E000IPC;PROFAB;1;Cód. Prod. Fabr.;Código de Prod. fabuloso.
E000IPC;PROFAB;2;Código Produto Fabricante;Código de producto del fabricante
E000IPC;PROFAB;3;Código do produto no Fabricante;Código de producto en Fabricante
E000IPC;PROFOR;1;Produto no Fornecedor;Producto en proveedor
E000IPC;PROFOR;2;Produto no Fornecedor;Producto en proveedor
E000IPC;PROFOR;3;Código do produto no fornecedor;Código de producto en proveedor
E000IPC;QECIPI;1;Qtd. Base IPI Cr.Ef.;Cant. Base IPI Cr.Ef.
E000IPC;QECIPI;2;Quantidade da Base de Cred. Efetivamente;Monto Base del Crédito. Efectivamente
E000IPC;QECIPI;3;Quantidade da Base de IPI Creditado Efetivamente;Cantidad de base del IPI efectivamente acreditada
E000IPC;QTDAJB;1;Qtd. Ajuste Bal.;Cant. Ajustar Bal.
E000IPC;QTDAJB;2;Quantidade Ajuste Balança;Cantidad de ajuste de escala
E000IPC;QTDAJB;3;Quantidade de Ajuste de Balança para Efeito de Estoque;Cantidad de ajuste de escala para efecto stock
E000IPC;QTDBCF;1;Qtd. da Base do COFINS Fat.;Cantidad base de grasa COFINS.
E000IPC;QTDBCF;2;Quantidade Base COFINS Fat. (Est. Dev.);Cantidad de Base Grasa COFINS. (Desarrollo est.)
E000IPC;QTDBCF;3;Quantidade da base do COFINS por faturamento (Estorno devolução);Monto base COFINS por facturación (Reembolso reembolso)
E000IPC;QTDBCO;1;Qtde. Base COFINS Rec.;Cant. Rec. COFINS.
E000IPC;QTDBCO;2;Quantidade Base COFINS Recuperar;Recuperación de cantidad base de COFINS
E000IPC;QTDBCO;3;Quantidade da base do COFINS a recuperar;Cantidad de base COFINS a recuperar
E000IPC;QTDBIP;1;Qtde. Base IPI;Cant. base del IPI
E000IPC;QTDBIP;2;Quantidade Base IPI;Cantidad base del IPI
E000IPC;QTDBIP;3;Quantidade da base do IPI;Monto base del IPI
E000IPC;QTDBPF;1;Qtd. da Base do PIS Fat.;Cantidad de Base Grasa PIS.
E000IPC;QTDBPF;2;Quantidade Base PIS Fat. (Est. Dev.);Cantidad de base grasa PIS. (Desarrollo est.)
E000IPC;QTDBPF;3;Quantidade da base do PIS por faturamento (Estorno devolução);Monto de base PIS por facturación (Reembolso de reembolso)
E000IPC;QTDBPI;1;Qtde. Base PIS Rec.;Cant. Rec. PIS.
E000IPC;QTDBPI;2;Quantidade Base PIS Recuperar;Recuperación de cantidad base de PIS
E000IPC;QTDBPI;3;Quantidade da base do PIS a recuperar;Cantidad de base PIS a recuperar
E000IPC;QTDDEV;1;Qtd. Dev.;Desv. cant.
E000IPC;QTDDEV;2;Quantidade Devolvida;Cantidad devuelta
E000IPC;QTDDEV;3;Quantidade devolvida do item da nota fiscal de entrada;Cantidad devuelta del artículo de la factura de proveedores
E000IPC;QTDEST;1;Qtde Estoque;Cantidad de stock
E000IPC;QTDEST;2;Qtde Estoque;Cantidad de stock
E000IPC;QTDEST;3;Quantidade de entrada conforme unidade de medida de estoque;Cantidad entrante según unidad de medida de stock
E000IPC;QTDFRE;1;Qtd. Frete;Cantidad de envío
E000IPC;QTDFRE;2;Quantidade Base Frete;Cantidad base de envío
E000IPC;QTDFRE;3;Quantidade base na unidade do produto valida para o valor do frete;Cantidad basada en la unidad del producto válida para el valor de envío
E000IPC;QTDREC;1;Qtd. Rec. Nota Fiscal;Cant. Rec. Nota fiscal
E000IPC;QTDREC;2;Qtde Recebida Nota Fiscal;Cantidad de factura recibida
E000IPC;QTDREC;3;Quantidade recebida do item da nota fiscal de entrada;Cantidad recibida del artículo de la factura de proveedores
E000IPC;SALCAN;1;Saldo Canc.;Canc saldo.
E000IPC;SALCAN;2;Saldo Cancelado;Saldo cancelado
E000IPC;SALCAN;3;Indicativo se o saldo do item da O.C. deverá ser cancelado;Indica si el saldo del artículo de la orden de compra debe cancelarse
E000IPC;SEQADI;1;Número seq. item adição;Secuencia de números artículo adicional
E000IPC;SEQADI;2;Número seq. item adição;Secuencia de números artículo adicional
E000IPC;SEQADI;3;Número sequencial do item dentro da adição;Número secuencial del artículo dentro de la adición.
E000IPC;SEQCCP;1;Seq. Item;Sec. Artículo
E000IPC;SEQCCP;2;Sequência Item Contrato;Secuencia de elementos del contrato
E000IPC;SEQCCP;3;Sequência do item do contrato na competência;Secuencia de elementos del contrato en competencia
E000IPC;SEQEVE;1;Seq. Evento;Sec. Evento
E000IPC;SEQEVE;2;Sequência;Secuencia
E000IPC;SEQEVE;3;Sequência do evento;Secuencia de eventos
E000IPC;SEQIPC;1;Seq.;Sec.
E000IPC;SEQIPC;2;Sequência;Secuencia
E000IPC;SEQIPC;3;Sequência do item na nota fiscal de entrada;Secuencia de artículos en la factura de proveedores
E000IPC;SEQIPD;1;Seq. Ped.;Sec. Ped.
E000IPC;SEQIPD;2;Sequência Pedido;Secuencia de orden
E000IPC;SEQIPD;3;Sequência do item de produto no pedido de venda;Secuencia de artículos del producto en orden de venta.
E000IPC;SEQIPO;1;Seq.;Sec.
E000IPC;SEQIPO;2;Sequência;Secuencia
E000IPC;SEQIPO;3;Sequência do item na ordem de compra da nota fiscal de entrada;Secuencia de artículos en la orden de compra de la factura de proveedores
E000IPC;SEQIPV;1;Seq. NFS;Sec. NFS
E000IPC;SEQIPV;2;Item NF Saída;Elemento de salida NF
E000IPC;SEQIPV;3;Sequência do item da nota fiscal de saída;Secuencia de artículos de factura de deudores
E000IPC;SEQISC;1;Seq.Serv.;Servicio Sec.
E000IPC;SEQISC;2;Sequência Item Serviço relacionado;Secuencia Elemento Servicio relacionado
E000IPC;SEQISC;3;Sequência do item na nota fiscal de entrada relacionado ao item de produto.;Secuencia del artículo en la factura de proveedores relacionado con el artículo del producto.
E000IPC;SNFNFV;1;Série NFS;Serie NFS
E000IPC;SNFNFV;2;Série NF Saída;Salida de la serie NF
E000IPC;SNFNFV;3;Série da nota fiscal de saída;Serie de facturas de deudores
E000IPC;TNSPRO;1;Trans. Prod;Trans. Pinchar
E000IPC;TNSPRO;2;Transação Produto;Transacción de producto
E000IPC;TNSPRO;3;Transação de produto do item da nota;Nota Artículo Producto Transacción
E000IPC;UNIMED;1;UM Estoque;Una acción
E000IPC;UNIMED;2;UM Estoque;Una acción
E000IPC;UNIMED;3;Unidade de medida de estoque do item da nota fiscal de entrada;Unidad de medida de inventario para el artículo de factura de proveedores
E000IPC;UNINFC;1;UM Nota Fiscal;Una factura de impuestos
E000IPC;UNINFC;2;UM Nota Fiscal;Una factura de impuestos
E000IPC;UNINFC;3;Código da unidade de medida da nota fiscal de entrada;Código de unidad de medida para la factura entrante
E000IPC;USUGER;1;Usuário Geração;Generación de usuarios
E000IPC;USUGER;2;Usuário de Geração;Usuario de generación
E000IPC;USUGER;3;Usuário responsável pela geração do registro;Usuario responsable de generar el registro
E000IPC;USULAU;1;Usuário Laudo;Informe de usuario
E000IPC;USULAU;2;Usuário Laudo;Informe de usuario
E000IPC;USULAU;3;Código do usuário que informou o laudo técnico;Código de usuario que proporcionó el informe técnico
E000IPC;VECICM;1;Valor ICMS Cred. Efetivamente;Valor del crédito ICMS. Efectivamente
E000IPC;VECICM;2;Valor ICMS Cred. Efetivamente;Valor del crédito ICMS. Efectivamente
E000IPC;VECICM;3;Valor ICMS Cred. Efetivamente;Valor del crédito ICMS. Efectivamente
E000IPC;VECIPI;1;Valor IPI Cred. Efetivamente;Valor del crédito IPI. Efectivamente
E000IPC;VECIPI;2;Valor IPI Cred. Efetivamente;Valor del crédito IPI. Efectivamente
E000IPC;VECIPI;3;Valor de IPI creditado efetivamente;Valor del IPI efectivamente acreditado
E000IPC;VLRAFM;1;Vlr. AFRMM;Vlr. AFRMM
E000IPC;VLRAFM;2;Valor da AFRMM;Valor AFRMM
E000IPC;VLRAFM;3;Valor adicional ao frete para renovação da marinha mercante;Valor adicional al flete por renovación de marina mercante
E000IPC;VLRAJS;1;Vlr. Ajuste;Vlr. Ajustamiento
E000IPC;VLRAJS;2;Valor Ajuste Fiscal;Valor de ajuste fiscal
E000IPC;VLRAJS;3;Valor do ajuste do item referente ao dispositivo fiscal;Valor de ajuste del artículo referido al dispositivo tributario
E000IPC;VLRBCF;1;Base COFINS Fat.;COFINS Base grasa.
E000IPC;VLRBCF;2;Base COFINS Faturamento (Est. Dev.);Base de facturación COFINS (Desarrollo est.)
E000IPC;VLRBCF;3;Valor Base do COFINS Faturamento (Estorno devolução);Valor Base COFINS Facturación (Reembolso)
E000IPC;VLRBCL;1;Base CSLL Retido;Base CSLL retenida
E000IPC;VLRBCL;2;Base/Valor CSLL Retido;Base CSLL/Cantidad retenida
E000IPC;VLRBCL;3;Valor base do CSLL Retido;Valor base del CSLL retenido
E000IPC;VLRBCR;1;Base Cofins a Recuperar;Base de Cofins por recuperar
E000IPC;VLRBCR;2;Base/Valor Cofins a Recuperar;Valor Base/Cofins a Recuperar
E000IPC;VLRBCR;3;Valor base do Cofins a recuperar;Valor base de Cofins a recuperar
E000IPC;VLRBCT;1;Base Cofins Retido;Base de Cofins retenida
E000IPC;VLRBCT;2;Base/Valor Cofins Retido;Valor base/retenido de Cofins
E000IPC;VLRBCT;3;Valor base do Cofins Retido;Valor base de Cofins retenidos
E000IPC;VLRBFU;1;Base Funrural/INSS;Base funeraria/INSS
E000IPC;VLRBFU;2;Base/Valor Funrural/INSS;Base/Valor Funrural/INSS
E000IPC;VLRBFU;3;Valor base do Funrural ou INSS;Valor base de Funrural o INSS
E000IPC;VLRBIC;1;Base ICMS;base ICMS
E000IPC;VLRBIC;2;Base/Valor ICMS;Base/Valor del ICMS
E000IPC;VLRBIC;3;Valor base do ICMS;Valor base ICMS
E000IPC;VLRBID;1;Base IPI Pres.;Pres. IPI base.
E000IPC;VLRBID;2;Base/Valor IPI Presumido;Valor IPI base/asumido
E000IPC;VLRBID;3;Valor base IPI presumido (50% compra no comércio);Valor base presunto del IPI (50% comprado en el comercio)
E000IPC;VLRBII;1;Base II;BaseII
E000IPC;VLRBII;2;Base/Valor II;Base/Valor II
E000IPC;VLRBII;3;Valor base imposto de importação;Valor base imponible de importación
E000IPC;VLRBIP;1;Base IPI;base del IPI
E000IPC;VLRBIP;2;Base/Valor IPI;Valor base/IPI
E000IPC;VLRBIP;3;Valor base IPI;Valor base del IPI
E000IPC;VLRBIR;1;Base IRRF;base IRRF
E000IPC;VLRBIR;2;Base/Valor IRRF;Valor base/IRRF
E000IPC;VLRBIR;3;Valor base IRRF;Valor base IRRF
E000IPC;VLRBOR;1;Base Out. Retenções;Base fuera. Retenciones
E000IPC;VLRBOR;2;Base/Valor Outras Retenções;Base/Importe Otras Retenciones
E000IPC;VLRBOR;3;Valor base de Outras Retenções;Valor base de Otras Retenciones
E000IPC;VLRBPF;1;Base PIS Fat.;PIS Base grasa.
E000IPC;VLRBPF;2;Base PIS Faturamento (Est. Dev.);Base de facturación PIS (Desarrollo est.)
E000IPC;VLRBPF;3;Valor Base do PIS Faturamento (Estorno devolução);Valor base de facturación PIS (reembolso de reembolso)
E000IPC;VLRBPI;1;Base PIS a Recuperar;Base PIS por recuperar
E000IPC;VLRBPI;2;Base/Valor PIS a Recuperar;Base PIS/Valor a Recuperar
E000IPC;VLRBPI;3;Valor base do PIS a recuperar;Valor base PIS a recuperar
E000IPC;VLRBPT;1;Base PIS Retido;Base PIS retenida
E000IPC;VLRBPT;2;Base/Valor PIS Retido;Valor base/PIS retenido
E000IPC;VLRBPT;3;Valor base do PIS Retido;Valor base del PIS retenido
E000IPC;VLRBRU;1;Vlr. Item;Vlr. Artículo
E000IPC;VLRBRU;2;Valor/Desconto Produto;Producto de valor/descuento
E000IPC;VLRBRU;3;Valor bruto do item da nota fiscal de entrada;Valor bruto del artículo de la factura de proveedores
E000IPC;VLRBSC;1;Base Subst. Trib. COFINS;Sust. base. tribu. COFINES
E000IPC;VLRBSC;2;Base/Valor Substituição Tributária COFINS;Base/Valor de Reemplazo del Impuesto COFINS
E000IPC;VLRBSC;3;Valor base da substituição tributário da COFINS;Valor base de sustitución del impuesto COFINS
E000IPC;VLRBSD;1;Base ICMS Subst. Dest.;Sustancia base ICMS. Destino
E000IPC;VLRBSD;2;Base/Valor ICMS Substituído Destacado;Valor ICMS base/reemplazado resaltado
E000IPC;VLRBSD;3;Valor base ICMS substituído destacado;Valor base de ICMS reemplazado resaltado
E000IPC;VLRBSI;1;Base ICMS Subst.;Sustancia base ICMS.
E000IPC;VLRBSI;2;Base/Valor ICMS Substituído;Valor ICMS base/reemplazado
E000IPC;VLRBSI;3;Valor base ICMS substituído;Valor base ICMS reemplazado
E000IPC;VLRBSN;1;Base Senar;Base Senar
E000IPC;VLRBSN;2;Base/Valor Senar;Valor base/senar
E000IPC;VLRBSN;3;Valor base do Senar;Valor base del senar
E000IPC;VLRBSP;1;Base Subst. Trib. PIS;Sust. base. tribu. PIS
E000IPC;VLRBSP;2;Base/Valor Substituição Tributária PIS;Base/Valor de Reemplazo del Impuesto PIS
E000IPC;VLRBSP;3;Valor base da substituição tributário do PIS;Valor base de reemplazo del impuesto PIS
E000IPC;VLRCFF;1;Vlr. COFINS Fat.;Vlr. COFINES Grasa.
E000IPC;VLRCFF;2;Valor COFINS Faturamento (Est. Dev.);Valor de facturación de COFINS (desv. est.)
E000IPC;VLRCFF;3;Valor do COFINS Faturamento (Estorno devolução);Valor de facturación COFINS (reembolso)
E000IPC;VLRCIT;1;Vlr. CIDE Tec.;Vlr. CIDE Tec.
E000IPC;VLRCIT;2;Valor CIDE Tecnologia;Valor CIDE Tecnología
E000IPC;VLRCIT;3;Valor do imposto CIDE-Tecnologia do item da nota fiscal de entrada;Valor fiscal CIDE-Tecnología del artículo de factura entrante
E000IPC;VLRCOR;1;Vlr. Cofins a Recuperar;Vlr. Ataúdes por recuperar
E000IPC;VLRCOR;2;Valor Cofins a Recuperar;Valor de Cofins por recuperar
E000IPC;VLRCOR;3;Valor do Cofins a recuperar;Valor de las monedas por recuperar
E000IPC;VLRCRT;1;Vlr. Cofins Retido;Vlr. Ataúdes retenidos
E000IPC;VLRCRT;2;Valor Cofins Retido;Valor de Cofins retenido
E000IPC;VLRCRT;3;Valor do Cofins Retido;Valor de los ataúdes retenidos
E000IPC;VLRCSL;1;Vlr. CSLL Retido;Vlr. CSLL retenido
E000IPC;VLRCSL;2;Valor CSLL Retido;Monto retenido de CSLL
E000IPC;VLRCSL;3;Valor do CSLL  Retido;Monto retenido de CSLL
E000IPC;VLRDAR;1;Vlr. Arred.;Vlr. Arred.
E000IPC;VLRDAR;2;Valor Arredondamento;Valor de redondeo
E000IPC;VLRDAR;3;Valor para arredondamento;Valor de redondeo
E000IPC;VLRDFA;1;Vlr. Dif. Alíq.;Vlr. Dif. Aliq.
E000IPC;VLRDFA;2;Valor Diferença Alíquota;Valor de la diferencia fiscal
E000IPC;VLRDFA;3;Valor da diferença de alíquota inter-estadual;Valor de la diferencia de tasas interestatales
E000IPC;VLRDM1;1;Dimensão 1;Dimensión 1
E000IPC;VLRDM1;2;Dimensões 1/2/3;Dimensiones 1/2/3
E000IPC;VLRDM1;3;Valor Dimensão 1;Dimensión de valor 1
E000IPC;VLRDM2;1;Dimensão 2;Dimensión 2
E000IPC;VLRDM2;2;Dimensão 2;Dimensión 2
E000IPC;VLRDM2;3;Valor Dimensão 2;Dimensión de valor 2
E000IPC;VLRDM3;1;Dimensão 3;Dimensión 3
E000IPC;VLRDM3;2;Dimensão 3;Dimensión 3
E000IPC;VLRDM3;3;Valor Dimensão 3;Dimensión de valor 3
E000IPC;VLRDM4;1;Dimensão 4;Dimensión 4
E000IPC;VLRDM4;2;Dimensões 4/5/6;Dimensiones 4/5/6
E000IPC;VLRDM4;3;Valor Dimensão 4;Dimensión de valor 4
E000IPC;VLRDM5;1;Dimensão 5;Dimensión 5
E000IPC;VLRDM5;2;Dimensão 5;Dimensión 5
E000IPC;VLRDM5;3;Valor Dimensão 5;Dimensión de valor 5
E000IPC;VLRDM6;1;Dimensão 6;Dimensión 6
E000IPC;VLRDM6;2;Dimensão 6;Dimensión 6
E000IPC;VLRDM6;3;Valor Dimensão 6;Dimensión de valor 6
E000IPC;VLRDS1;1;Valor Desconto 1;Valor de descuento 1
E000IPC;VLRDS1;2;Valor Desconto 1;Valor de descuento 1
E000IPC;VLRDS1;3;Valor do desconto 1;Importe del descuento 1
E000IPC;VLRDS2;1;Valor Desconto 2;Valor de descuento 2
E000IPC;VLRDS2;2;Valor Desconto 2;Valor de descuento 2
E000IPC;VLRDS2;3;Valor do desconto 2;Importe del descuento 2
E000IPC;VLRDS3;1;Valor Desconto 3;Valor de descuento 3
E000IPC;VLRDS3;2;Valor Desconto 3;Valor de descuento 3
E000IPC;VLRDS3;3;Valor de desconto 3;Importe del descuento 3
E000IPC;VLRDS4;1;Valor Desconto 4;Valor de descuento 4
E000IPC;VLRDS4;2;Valor Desconto 4;Valor de descuento 4
E000IPC;VLRDS4;3;Valor de desconto 4;Importe del descuento 4
E000IPC;VLRDS5;1;Valor Desconto 5;Valor de descuento 5
E000IPC;VLRDS5;2;Valor Desconto 5;Valor de descuento 5
E000IPC;VLRDS5;3;Valor de desconto 5;Valor de descuento 5
E000IPC;VLRDSC;1;Valor Desconto;Valor de descuento
E000IPC;VLRDSC;2;Valor Desconto;Valor de descuento
E000IPC;VLRDSC;3;Valor do desconto do item da nota fiscal de entrada;Importe del descuento para el artículo de la factura
E000IPC;VLRDZF;1;Vlr. Desc. ZF;Vlr. Desc. ZF
E000IPC;VLRDZF;2;Valor Desconto Zona Franca;Valor de descuento de zona franca
E000IPC;VLRDZF;3;Valor do desconto referente zona franca;Valor de descuento para zona franca
E000IPC;VLREMB;1;Vlr. Emb.;Vlr. Embajador.
E000IPC;VLREMB;2;Valor Embalagem;Valor de embalaje
E000IPC;VLREMB;3;Valor embalagem;Valor del embalaje
E000IPC;VLRENC;1;Vlr. Enc.;Vlr. Enc.
E000IPC;VLRENC;2;Valor Encargos;Cargos de valor
E000IPC;VLRENC;3;Valor encargos financeiros;Valor de las cargas financieras
E000IPC;VLRFEI;1;Valor Frete Importação;Valor de envío de importación
E000IPC;VLRFEI;2;Valor Frete Importação;Valor de envío de importación
E000IPC;VLRFEI;3;Valor de frete de importação;Costo del flete de importación
E000IPC;VLRFIN;1;Vlr. Fin.;Vlr. Fin.
E000IPC;VLRFIN;2;Valor para Financeiro;Valor para las finanzas
E000IPC;VLRFIN;3;Valor do item válido para o financeiro;Valor del artículo válido para finanzas.
E000IPC;VLRFRD;1;Vlr. Frete Dest.;Vlr. Destino de envío
E000IPC;VLRFRD;2;Valor Frete Destacado;Valor de envío resaltado
E000IPC;VLRFRD;3;Valor frete destacado;Valor de envío resaltado
E000IPC;VLRFRE;1;Vlr. Frete;Vlr. Flete
E000IPC;VLRFRE;2;Valor Frete;Valor de envío
E000IPC;VLRFRE;3;Valor frete;Valor de envío
E000IPC;VLRFUM;1;Vlr. Frete Uni. Med.;Vlr. Envío uni. Medicina.
E000IPC;VLRFUM;2;Valor Frete Unidade Medida;Valor de envío Unidad de medida
E000IPC;VLRFUM;3;Valor do frete por unidade de medida quando CIF;Valor de envío por unidad de medida cuando CIF
E000IPC;VLRFUN;1;Vlr. Funrural/INSS;Vlr. Funeraria/INSS
E000IPC;VLRFUN;2;Valor Funrural/INSS;Valor funerario/INSS
E000IPC;VLRFUN;3;Valor do Funrural ou INSS;Valor funrural o INSS
E000IPC;VLRIBS;1;Base ICMS Simp. Nac.;Base ICMS Sim. Nac.
E000IPC;VLRIBS;2;Base ICMS Simples Nacional;Base ICMS Nacional Simple
E000IPC;VLRIBS;3;Valor base do ICMS Simples Nacional;Valor base del ICMS Simples Nacional
E000IPC;VLRICD;1;ICMS Desonerado;ICMS exento
E000IPC;VLRICD;2;ICMS Desonerado;ICMS exento
E000IPC;VLRICD;3;ICMS Desonerado;ICMS exento
E000IPC;VLRICM;1;Vlr. ICMS;Vlr. ICMS
E000IPC;VLRICM;2;Valor ICMS;Valor ICMS
